epoch,loss,mean_absolute_error,root_mean_squared_error,val_loss,val_mean_absolute_error,val_root_mean_squared_error
0,810.835205078125,12.677164077758789,28.475168228149414,172.34942626953125,6.782366752624512,13.128191947937012
1,118.30584716796875,5.260162830352783,10.876849174499512,39.34712219238281,3.5648200511932373,6.272728443145752
2,37.87310791015625,3.0488710403442383,6.154113292694092,26.496849060058594,2.1963894367218018,5.1475090980529785
3,21.009658813476562,2.073798418045044,4.583629608154297,27.15658950805664,1.5926616191864014,5.211198329925537
4,27.433856964111328,2.6364564895629883,5.237733840942383,19.520463943481445,1.403124451637268,4.418196678161621
5,14.771537780761719,2.0028235912323,3.8433759212493896,45.347434997558594,3.972827196121216,6.734050273895264
6,53.737892150878906,3.780740261077881,7.330613136291504,8.936576843261719,1.2155734300613403,2.989410877227783
7,7.957126140594482,1.4212995767593384,2.8208377361297607,14.785380363464355,2.283525228500366,3.8451762199401855
8,6.543738842010498,1.477165699005127,2.5580732822418213,4.150706768035889,1.1281565427780151,2.0373282432556152
9,5.219576358795166,1.324873924255371,2.2846391201019287,5.511919975280762,1.2963534593582153,2.347747802734375
10,8.373230934143066,1.4777859449386597,2.893653631210327,12.400294303894043,1.084749698638916,3.5214052200317383
11,12.116888046264648,1.5998759269714355,3.4809319972991943,17.95494842529297,1.6032342910766602,4.237328052520752
